"ParameterCode","ParameterName_Cor","ParameterUnit_Org","Method_Org","ParameterName","ParameterUnit","ParameterName_German","ParameterUnit_German","LOD","LOQ","CalibrationLow","CalibrationHigh","MeasUncert_Perc"
1,,,,"Flow","L/h","Durchfluss","L/h",,,,,
2,,,,"EC","µS/cm","Leitfähigkeit","µS/cm",,,,,
3,,,,"pH","pH","pH","pH",,,,,
4,,,,"Turbidity","FNU","Trübung","FNU",,,,,
5,,,,"UV-Fluence","W/m2","UV-Intensität","W/m2",,,,,
6,,,,"H2O2","mg/l","H2O2","mg/l",,,,,
11107,"Intakte Zellen","Zellen/mL","ZZI ACCURI","Intact cell count","Cells/mL","Intakte Zellen","Zellen/mL",,,,,
11108,"Anteil Intakte Zellen","%","ZZI ACCURI","Intact cells share","%","Anteil Intakte Zellen","%",,,,,
11109,"Intakte Zellen absolut","Zellen","ZZI ACCURI","Intact cells","Cells","Intakte Zellen absolut","Zellen",,,,,
11110,"Totalzellzahl","Zellen/mL","TZZ ACCURI","Total cell count","Cells/mL","Totalzellzahl","Zellen/mL",,,,,
11111,"LNA-Zellen","Zellen/mL","TZZ ACCURI","LNA cell count","Cells/mL","LNA-Zellen","Zellen/mL",,,,,
11112,"HNA-Zellen","Zellen/mL","TZZ ACCURI","HNA cell count","Cells/mL","HNA-Zellen","Zellen/mL",,,,,
11113,"LNA-Anteil","%","TZZ ACCURI","LNA share","%","LNA-Anteil","%",,,,,
11114,"HNA-Anteil","%","TZZ ACCURI","HNA share","%","HNA-Anteil","%",,,,,
11115,"Totalzellzahl absolut","Zellen","TZZ ACCURI","Total cells","Cells","Totalzellzahl absolut","Zellen",,,,,
11116,"LNA-Zellen absolut","Zellen","TZZ ACCURI","LNA-cells absolute","Cells","LNA-Zellen absolut","Zellen",,,,,
11117,"HNA-Zellen absolut","Zellen","TZZ ACCURI","HNA-cells absolute","Cells","HNA-Zellen absolut","Zellen",,,,,
11120,"ATP [RLU]",,"ATP","ATP","RLU","ATP [RLU]","RLU",,,,,
11121,"ATP frei [RLU]",,"ATP","ATP, free","RLU","ATP frei [RLU]","RLU",,,,,
11122,"ATP bakt. [RLU]",,"ATP","ATP, bact.","RLU","ATP bakt. [RLU]","RLU",,,,,
11125,"ATP","nmol/L","ATP","ATP","nmol/L","ATP","nmol/L",,,0.001,0.1,30
11126,"ATP frei","nmol/L","ATP","ATP, free","nmol/L","ATP frei","nmol/L",,,0.001,0.1,30
11127,"ATP bakt.","nmol/L","ATP","ATP, bact.","nmol/L","ATP bakt.","nmol/L",,,,,
11128,"Steigung [RLU / (nM/L)]",,"ATP","Gradient ATP","RLU / (nmol/L)","Steigung [RLU / (nM/L)]","RLU / (nmol/L)",,,,,
11129,"Achsenabschnitt [RLU]",,"ATP","Intercept ATP","RLU","Achsenabschnitt [RLU]","RLU",,,,,
11502,"Vermehrungsf. Keime 20°C","KBE/mL","GKZR2AAWBR","Aerobic Plate Count (20 °C)","CFU/mL","Vermehrungsf. Keime 20°C","KBE/mL",,,,,
12101,"Wassertemperatur","°C","O2 SÄUL FH","T","°C","Wassertemperatur","°C",,,,,
12101,"Wassertemperatur","°C","O2 SOND FH","T","°C","Wassertemperatur","°C",,,,,
12601,"Redox","mV","REDOX FH","Redox","mV","Redox","mV",,,,,
13301,"Sauerstoff","mg/L","O2 SOND FH","O2","mg/L","Sauerstoff","mg/L",,,,,
13302,"rel. Sauerstoffsättigung","%","O2 SÄUL FH","rel. Oxygen saturation","%","rel. Sauerstoffsättigung","%",,,,,
13302,"rel. Sauerstoffsättigung","%","O2 SOND FH","rel. Oxygen saturation","%","rel. Sauerstoffsättigung","%",,,,,
15201,"DOC (Gelöster org. C)","mg C/L","LC-OCD FH","DOC","mg/L","DOC (Gelöster org. C)","mg C/L",,,,,
15203,"AOC (Assimil. org. C)","µg AOC/L","AOC","AOC","µg/L","AOC (Assimil. org. C)","µg AOC/L",,,,,
15204,"TIC (Totaler anorg. C)","mg/L","TIC FH","TIC","mg/L","TIC (Totaler anorg. C)","mg/L",,,,,
15205,"Biopolymere","mg/L","LC-OCD FH","Biopolymers","mg/L","Biopolymere","mg/L",,,,,
15206,"Huminstoffe","mg/L","LC-OCD FH","Humic substances","mg/L","Huminstoffe","mg/L",,,,,
15207,"Building blocks","mg/L","LC-OCD FH","Building blocks","mg/L","Building blocks","mg/L",,,,,
